                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6108,                 3.1643,                 2.2382,                 1.5517,                0.34022,                0.56522,                 0.4101,                0.22031,                0.35773,                0.56522,                 0.4141,                0.08382,                 2.0971,                 1.8941,                 2.1849,                 1.9656,             0.00066187,             0.00066187,             0.00066187
                      2,                 1.7009,                 2.9028,                 2.0188,                 1.5815,                0.61045,                0.21739,                0.26426,                0.16668,                0.49665,                0.30056,                0.35387,                0.09967,                 1.8648,                 1.9425,                 2.3982,                 1.8282,              0.0012759,              0.0012759,              0.0012759
                      3,                 1.7178,                 2.8195,                 1.9292,                 1.5913,                0.57148,                0.30435,                0.34635,                0.19189,                0.30794,                0.56522,                0.31858,                 0.0734,                 2.1679,                 1.7033,                 2.3512,                 2.0783,              0.0018372,              0.0018372,              0.0018372
                      4,                 1.6513,                 2.8084,                  1.817,                 1.5492,                0.63023,                 0.6087,                0.55238,                0.31898,                0.71023,                0.78261,                0.68505,                0.27437,                 1.7177,                 1.4521,                  1.513,                 1.7637,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.6575,                 2.7657,                 1.7923,                 1.5587,                0.33035,                0.65217,                0.39581,                 0.1819,                0.37311,                0.69565,                0.43325,                0.13296,                 2.0199,                 1.6231,                 1.7986,                  1.924,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.6168,                 2.6879,                 1.7241,                 1.5116,                0.67721,                0.73913,                0.77693,                0.34388,                0.67122,                0.52174,                0.56043,                0.20026,                 2.0604,                 2.0085,                 1.5269,                 2.3562,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.5586,                 2.6064,                 1.6518,                 1.5016,                0.73586,                0.72713,                0.68264,                0.37136,                  0.723,                0.82609,                0.73981,                0.31712,                 1.5609,                 1.5051,                 1.3076,                 1.6085,               0.001604,               0.001604,               0.001604
                      8,                 1.5465,                 2.6319,                 1.6123,                 1.4878,                 0.6401,                0.95652,                0.75609,                0.40877,                0.57192,                0.86957,                0.66134,                0.34762,                 1.3784,                 1.1916,                 1.2607,                 1.4397,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.4632,                 2.5544,                 1.5455,                 1.4309,                0.79402,                0.69565,                0.80885,                0.56935,                0.80251,                0.70712,                0.82896,                0.31181,                 1.3143,                 1.3653,                  1.232,                 1.3903,              0.0014456,              0.0014456,              0.0014456
                     10,                  1.442,                 2.4869,                 1.5314,                 1.4207,                 0.9464,                0.86957,                0.91157,                0.54399,                0.82719,                0.78261,                0.80001,                0.33109,                 1.3606,                 1.2801,                 1.0875,                 1.3714,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.4175,                 2.4721,                 1.5247,                 1.4114,                0.72091,                0.73913,                0.69035,                0.42349,                 0.5547,                0.56522,                0.47299,                0.12162,                  1.461,                 2.3059,                 1.3502,                 1.5573,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.4013,                 2.4681,                 1.4933,                 1.4067,                0.94336,                0.72471,                0.90353,                0.56052,                0.88282,                0.65531,                0.84122,                0.40024,                 1.3453,                 1.3507,                 1.0391,                 1.3776,               0.001208,               0.001208,               0.001208
                     13,                 1.3452,                 2.4241,                 1.4229,                 1.3699,                0.72331,                0.68239,                0.79222,                0.45828,                0.56487,                0.82609,                  0.721,                0.34405,                 1.4486,                 1.2151,                 1.1542,                 1.4596,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.3237,                 2.3748,                  1.383,                  1.363,                0.79098,                0.82278,                0.88788,                0.62252,                0.72559,                0.86957,                0.84169,                0.42772,                 1.2279,                 1.1011,                0.95193,                 1.4101,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.3041,                 2.3153,                 1.3524,                  1.353,                0.82222,                0.82609,                0.88527,                0.53812,                0.82222,                0.82609,                0.88691,                 0.3943,                 1.2246,                 1.2167,                0.97933,                 1.2916,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.3252,                 2.0962,                 1.4044,                 1.4591,                0.86953,                0.73913,                0.82729,                0.49508,                0.73449,                0.78261,                0.75132,                0.35102,                 1.3554,                 1.2001,                 1.3683,                 1.4701,              0.0008912,              0.0008912,              0.0008912
                     17,                 1.3097,                 2.0805,                 1.3802,                 1.4488,                0.81285,                0.75585,                0.83701,                0.57958,                0.81285,                0.75585,                0.79917,                0.36045,                 1.2822,                 1.3628,                 1.0856,                 1.3453,               0.000812,               0.000812,               0.000812
                     18,                 1.2924,                 2.0276,                 1.3463,                 1.4416,                0.89849,                0.77014,                0.90723,                0.64334,                0.89849,                0.77014,                0.90723,                0.46905,                 1.0937,                 1.1026,                0.85321,                  1.192,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.2623,                 2.0138,                 1.3237,                 1.4204,                0.89153,                0.82609,                  0.898,                 0.6894,                0.88259,                0.82609,                0.91191,                0.48969,                0.93675,                0.99413,                0.89557,                 1.1686,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.2397,                 1.9743,                 1.2839,                 1.3923,                0.84099,                0.69011,                0.83155,                0.57853,                0.76672,                0.78261,                0.83123,                0.44995,                 1.0053,                 1.1328,                  1.064,                  1.195,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.1987,                 1.9267,                 1.2622,                 1.3827,                0.88228,                0.78261,                 0.8713,                0.58955,                0.88228,                0.78261,                0.85422,                0.46747,                 1.1926,                 1.0439,                 1.0056,                 1.3536,              0.0004952,              0.0004952,              0.0004952
                     22,                 1.1556,                 1.9173,                 1.2239,                 1.3451,                0.97539,                0.78261,                0.91629,                0.68263,                0.95203,                0.86957,                0.93062,                0.46657,                 1.0367,                 1.0855,                 0.8568,                 1.1925,               0.000416,               0.000416,               0.000416
                     23,                  1.138,                 1.8843,                   1.19,                 1.3483,                0.94966,                0.82045,                0.89884,                0.72412,                0.90523,                0.83077,                0.88333,                0.46457,                 1.0503,                 1.1264,                0.96736,                 1.3482,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.1073,                 1.8445,                 1.1669,                  1.316,                0.82061,                0.79595,                0.89987,                0.70245,                0.86637,                0.84614,                0.89283,                0.48029,                 1.1418,                 1.1338,                 1.0364,                 1.3945,              0.0002576,              0.0002576,              0.0002576
                     25,                 1.0724,                 1.8438,                 1.1238,                 1.3119,                      1,                 0.7712,                0.90757,                0.72023,                 0.9015,                0.86957,                0.90884,                0.49696,                0.99167,                 1.0253,                0.98983,                  1.214,              0.0001784,              0.0001784,              0.0001784
